scaler,classifier,params,accuracy std,accuracy,roc_auc_ovr,f1_macro,recall_macro,accuracy_scores
None,RandomForest,{},0.07444725895138037,0.6425087108013937,0.7555902951375909,0.5414480304470116,0.5442122667780563,"[0.66666667 0.64285714 0.61904762 0.66666667 0.66666667 0.58536585
 0.6097561  0.51219512 0.65853659 0.75609756 0.57142857 0.76190476
 0.71428571 0.5952381  0.64285714 0.65853659 0.58536585 0.68292683
 0.73170732 0.51219512 0.64285714 0.66666667 0.76190476 0.61904762
 0.47619048 0.75609756 0.6097561  0.70731707 0.65853659 0.53658537]"
Standard,RandomForest,{},0.07440094935606666,0.6416957026713124,0.756102915361515,0.5408790252010539,0.543627471456419,"[0.66666667 0.64285714 0.61904762 0.66666667 0.66666667 0.58536585
 0.6097561  0.51219512 0.63414634 0.75609756 0.57142857 0.76190476
 0.71428571 0.5952381  0.64285714 0.65853659 0.58536585 0.68292683
 0.73170732 0.51219512 0.64285714 0.66666667 0.76190476 0.61904762
 0.47619048 0.75609756 0.6097561  0.70731707 0.65853659 0.53658537]"
Standard,GradientBoosting,{},0.06898946285232926,0.6237901664730934,0.7356117999891396,0.5514314916150187,0.5483590921748814,"[0.69047619 0.61904762 0.64285714 0.71428571 0.64285714 0.63414634
 0.6097561  0.48780488 0.51219512 0.63414634 0.61904762 0.66666667
 0.66666667 0.5952381  0.54761905 0.63414634 0.58536585 0.70731707
 0.6097561  0.48780488 0.69047619 0.71428571 0.78571429 0.61904762
 0.52380952 0.68292683 0.58536585 0.65853659 0.58536585 0.56097561]"
None,Bagging,{},0.07178549139373906,0.6222996515679442,0.7245686255857502,0.5344656615492307,0.5379605263157895,"[0.69047619 0.69047619 0.61904762 0.61904762 0.66666667 0.63414634
 0.48780488 0.43902439 0.65853659 0.65853659 0.61904762 0.71428571
 0.61904762 0.61904762 0.64285714 0.6097561  0.63414634 0.65853659
 0.73170732 0.43902439 0.61904762 0.66666667 0.64285714 0.64285714
 0.5        0.73170732 0.6097561  0.63414634 0.58536585 0.58536585]"
Standard,Bagging,{},0.0713050314100025,0.6222802942315138,0.725417854765286,0.534432649418736,0.5379605263157894,"[0.69047619 0.69047619 0.61904762 0.61904762 0.66666667 0.63414634
 0.48780488 0.43902439 0.65853659 0.65853659 0.61904762 0.71428571
 0.61904762 0.61904762 0.64285714 0.6097561  0.63414634 0.65853659
 0.73170732 0.43902439 0.61904762 0.69047619 0.64285714 0.64285714
 0.5        0.70731707 0.6097561  0.63414634 0.58536585 0.58536585]"
None,GradientBoosting,{},0.06759786981928931,0.6198993418505615,0.7351770061915429,0.5466267518896952,0.54416701475912,"[0.69047619 0.54761905 0.64285714 0.71428571 0.64285714 0.68292683
 0.58536585 0.48780488 0.56097561 0.65853659 0.5952381  0.66666667
 0.64285714 0.5952381  0.54761905 0.68292683 0.58536585 0.70731707
 0.6097561  0.48780488 0.66666667 0.69047619 0.73809524 0.61904762
 0.52380952 0.68292683 0.58536585 0.65853659 0.58536585 0.51219512]"
None,LightGBM,{},0.07094738179456708,0.6158730158730159,0.7464109554402332,0.5288523104510326,0.5323652882205514,"[0.66666667 0.54761905 0.64285714 0.69047619 0.61904762 0.63414634
 0.56097561 0.53658537 0.51219512 0.6097561  0.54761905 0.69047619
 0.64285714 0.61904762 0.64285714 0.68292683 0.6097561  0.63414634
 0.68292683 0.46341463 0.69047619 0.69047619 0.73809524 0.5952381
 0.45238095 0.73170732 0.6097561  0.6097561  0.56097561 0.56097561]"
None,XGBoost,{},0.08069006256843124,0.6119628339140534,0.7554420384520986,0.5401753546682894,0.537943469785575,"[0.69047619 0.52380952 0.57142857 0.69047619 0.64285714 0.58536585
 0.56097561 0.51219512 0.48780488 0.65853659 0.57142857 0.66666667
 0.66666667 0.64285714 0.52380952 0.65853659 0.58536585 0.70731707
 0.63414634 0.46341463 0.69047619 0.5952381  0.73809524 0.5952381
 0.47619048 0.7804878  0.58536585 0.73170732 0.58536585 0.53658537]"
Standard,XGBoost,{},0.08069006256843124,0.6119628339140534,0.7554420384520986,0.5401753546682894,0.537943469785575,"[0.69047619 0.52380952 0.57142857 0.69047619 0.64285714 0.58536585
 0.56097561 0.51219512 0.48780488 0.65853659 0.57142857 0.66666667
 0.66666667 0.64285714 0.52380952 0.65853659 0.58536585 0.70731707
 0.63414634 0.46341463 0.69047619 0.5952381  0.73809524 0.5952381
 0.47619048 0.7804878  0.58536585 0.73170732 0.58536585 0.53658537]"
Standard,LightGBM,{},0.07861957824751444,0.6045296167247386,0.7425323701609188,0.5214136385542466,0.523355611250348,"[0.66666667 0.57142857 0.61904762 0.66666667 0.64285714 0.6097561
 0.53658537 0.51219512 0.48780488 0.63414634 0.54761905 0.69047619
 0.66666667 0.61904762 0.57142857 0.65853659 0.58536585 0.63414634
 0.68292683 0.41463415 0.73809524 0.64285714 0.71428571 0.5952381
 0.47619048 0.73170732 0.56097561 0.63414634 0.53658537 0.48780488]"
